ABS|A mathematical function that returns the absolute (positive) value of the specified numeric expression. (`ABS` changes negative values to positive values. `ABS` has no effect on zero or positive values.)
ACOS|A function that returns the angle, in radians, whose cosine is the specified float expression. This is also called arccosine.
Aggregate|An aggregate function performs a calculation on a set of values, and returns a single value. Except for `COUNT(*)`, aggregate functions ignore null values. Aggregate functions are often used with the GROUP BY clause of the SELECT statement.
Analytic|SQL Server supports these analytic functions:
APP_NAME|This function returns the application name for the current session, if the application sets that name value.
APPLOCK_MODE|This function returns the lock mode held by the lock owner on a particular application resource. As an application lock function, APPLOCK_MODE operates on the current database. The database is the scope of the application locks.
APPLOCK_TEST|This function returns information as to whether or not a lock can be granted on a particular application resource, for a specified lock owner, without acquisition of the lock. As an application lock function, APPLOCK_TEST operates on the current database. The database is the scope of the application locks.
APPROX_COUNT_DISTINCT|This function returns the approximate number of unique non-null values in a group.
APPROX_PERCENTILE_CONT|This function returns an approximate interpolated value from the set of values in a group based on percentile value and sort specification. Since this is an approximate function, the output would be within rank based error bound with certain confidence. The percentile value returned by this function is based on a continuous distribution of the column values and the result would be interpolated. Due to this, the output might not be one of values in the data set. One of the common use cases for this function is to avoid the data outliers. This function can be used as an alternative to PERCENTILE_CONT for large datasets where negligible error with faster response is acceptable as compared to accurate percentile value with slow response time.
APPROX_PERCENTILE_DISC|This function returns the value from the set of values in a group based on the provided percentile and sort specification. Since this is an approximate function, the output would be within rank based error bound with certain confidence. As this approximate percentile is based on a discrete distribution of the column values, the output value would be equal to one of the specific values in the column. This function can be used as an alternative to PERCENTILE_DISC for large datasets where negligible error with faster response is acceptable as compared to accurate percentile value with slow response time.
ASCII|Returns the ASCII code value of the leftmost character of a character expression.
ASIN|A function that returns the angle, in radians, whose sine is the specified **float** expression. This is also called **arcsine**.
ASSEMBLYPROPERTY|This function returns information about a property of an assembly.
ASYMKEY_ID|Returns the ID of an asymmetric key.
ASYMKEYPROPERTY|This function returns the properties of an asymmetric key.
ATAN|A function that returns the angle, in radians, whose tangent is a specified **float** expression. This is also called arctangent.
ATN2|Returns the angle, in radians, between the positive x-axis and the ray from the origin to the point (y, x), where x and y are the values of the two specified float expressions.
AVG|This function returns the average of the values in a group. It ignores null values.
BINARY_CHECKSUM|Returns the binary checksum value computed over a row of a table or over a list of expressions.
